Name                                                                                                                                            Stmts   Miss  Cover
virt/lib/python3.4/site-packages/django/views/static                                                                                               73     57    22%
virt/lib/python3.4/site-packages/django_wysiwyg/__init__                                                                                           22      5    77%
virt/lib/python3.4/site-packages/django_wysiwyg/models                                                                                              0      0   100%
virt/lib/python3.4/site-packages/easy_thumbnails/__init__                                                                                           4      2    50%
virt/lib/python3.4/site-packages/easy_thumbnails/alias                                                                                             48     28    42%
virt/lib/python3.4/site-packages/easy_thumbnails/conf                                                                                              82     31    62%
virt/lib/python3.4/site-packages/easy_thumbnails/engine                                                                                            73     58    21%
virt/lib/python3.4/site-packages/easy_thumbnails/exceptions                                                                                         5      0   100%
virt/lib/python3.4/site-packages/easy_thumbnails/files                                                                                            383    222    42%
virt/lib/python3.4/site-packages/easy_thumbnails/management/__init__                                                                               77     68    12%
virt/lib/python3.4/site-packages/easy_thumbnails/models                                                                                            56     26    54%
virt/lib/python3.4/site-packages/easy_thumbnails/namers                                                                                            23     12    48%
virt/lib/python3.4/site-packages/easy_thumbnails/options                                                                                           34     10    71%
virt/lib/python3.4/site-packages/easy_thumbnails/signal_handlers                                                                                   23      8    65%
virt/lib/python3.4/site-packages/easy_thumbnails/signals                                                                                            5      0   100%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/0001_initial                                                                     17      3    82%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/0002_filename_indexes                                                            14      3    79%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/0003_auto__add_storagenew                                                        12      1    92%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/0004_auto__add_field_source_storage_new__add_field_thumbnail_storage_new         13      2    85%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/0005_storage_fks_null                                                            13      2    85%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/0006_copy_storage                                                                29      9    69%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/0007_storagenew_fks_not_null                                                     13      2    85%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/0008_auto__del_field_source_storage__del_field_thumbnail_storage                 13      2    85%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/0009_auto__del_storage                                                           12      2    83%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/0010_rename_storage                                                              41     23    44%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/0011_auto__add_field_source_storage_hash__add_field_thumbnail_storage_hash       13      2    85%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/0012_build_storage_hashes                                                        24     10    58%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/0013_auto__del_storage__del_field_source_storage__del_field_thumbnail_stora      27     10    63%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/0014_auto__add_unique_source_name_storage_hash__add_unique_thumbnail_name_s      13      2    85%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/0015_auto__del_unique_thumbnail_name_storage_hash__add_unique_thumbnail_sou      13      2    85%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/0016_auto__add_thumbnaildimensions                                               12      1    92%
virt/lib/python3.4/site-packages/easy_thumbnails/south_migrations/__init__                                                                          0      0   100%
virt/lib/python3.4/site-packages/easy_thumbnails/storage                                                                                           14      0   100%
virt/lib/python3.4/site-packages/easy_thumbnails/utils                                                                                             87     55    37%
virt/lib/python3.4/site-packages/psycopg2/__init__                                                                                                 50      9    82%
virt/lib/python3.4/site-packages/psycopg2/_json                                                                                                    67     36    46%
virt/lib/python3.4/site-packages/psycopg2/_range                                                                                                  235    149    37%
virt/lib/python3.4/site-packages/psycopg2/extensions                                                                                               91     25    73%
virt/lib/python3.4/site-packages/psycopg2/tz                                                                                                       61     37    39%
virt/lib/python3.4/site-packages/six                                                                                                              331    168    49%
virt/lib/python3.4/site-packages/south/__init__                                                                                                     2      0   100%
virt/lib/python3.4/site-packages/south/db/__init__                                                                                                 24      9    62%
virt/lib/python3.4/site-packages/south/db/generic                                                                                                 585    123    79%
virt/lib/python3.4/site-packages/south/db/postgresql_psycopg2                                                                                      32      4    88%
virt/lib/python3.4/site-packages/south/exceptions                                                                                                  99     48    52%
virt/lib/python3.4/site-packages/south/hacks/__init__                                                                                               2      0   100%
virt/lib/python3.4/site-packages/south/hacks/django_1_0                                                                                            50     17    66%
virt/lib/python3.4/site-packages/south/logger                                                                                                      26     10    62%
virt/lib/python3.4/site-packages/south/management/__init__                                                                                          0      0   100%
virt/lib/python3.4/site-packages/south/management/commands/__init__                                                                                18      1    94%
virt/lib/python3.4/site-packages/south/management/commands/migrate                                                                                126     90    29%
virt/lib/python3.4/site-packages/south/management/commands/syncdb                                                                                  67     12    82%
virt/lib/python3.4/site-packages/south/management/commands/test                                                                                     6      0   100%
virt/lib/python3.4/site-packages/south/migration/__init__                                                                                         157     67    57%
virt/lib/python3.4/site-packages/south/migration/base                                                                                             276     84    70%
virt/lib/python3.4/site-packages/south/migration/migrators                                                                                        238    127    47%
virt/lib/python3.4/site-packages/south/migration/utils                                                                                             61     21    66%
